cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
11,3,975,53,Otomíes
11,3,991,227,San José de la Posta
11,3,996,142,San Miguel [Polígono Empresarial]
11,4,14,65,Cerro Prieto
11,4,81,50,El Talayote
11,5,11,62,Coachiti
11,5,309,62,Amexhe [Parque Industrial]
11,5,313,77,El Grande [Parque Industrial]
11,6,10,17,El Durazno
11,6,16,40,El Mezquital
11,7,78,14,Los Aguirre
11,7,91,315,La Cruz
11,7,107,33,Jáuregui
11,7,121,29,San José de Mendoza
11,7,135,14,Presa Blanca
11,7,155,29,San Isidro de Elguera
11,7,164,29,San Luis Rey
11,7,176,032A,Santa Rosa de Lima
11,7,245,33,La Trinidad
11,7,423,032A,Condominio Campestre las Huertas
